"Table 91 : Selected Statistics for All Establishments in the Information and Communications, Financing and Insurance, Professional and Business Services Sectors",,,,,,,,,,
,,,,,,,,,,
,,Number of establishments,Number of persons engaged,Number of employees,Compensation of employees,Operating expenses (1),Value of purchases of goods for sale (2),Business receipts and other income (3),Industry value added,Gross surplus
2014,Information and communications,9989,106117,102574,39339,96928,18110,194470,76402,40093
2014,Banking,261,103420,103420,88717,94834,---,378115,[#2],[#2]
2014,Financing (except banking),7833,81930,80697,82492,117218,---,595301,80145 [#3],395591
2014,Insurance,2591,65506,64444,29629,15101,---,430918,[#2],[#2]
2014,"Professional, scientific and technical activities",25197,136546,119288,48215,55473,856,130422,69525,25878
2014,Administrative and support service activities,11967,218994,212840,39141,96338,779,145262,46445,9039
2015,Information and communications,10065,105186,102499,38793,96588,28005,206526,79000,43139
2015,Banking,257,104114,104114,93742,98516,---,405214,[#2],[#2]
2015,Financing (except banking),7916,82829,81738,85981,121874,---,626975,88216 [#3],419119
2015,Insurance,2591,68587,66978,32475,17212,---,459249,[#2],[#2]
2015,"Professional, scientific and technical activities",25769,141283,124740,52446,56769,1026,137181,73696,26940
2015,Administrative and support service activities,11964,224919,218317,41905,100645,837,154082,48860,10696
2016,Information and communications,10179,106936,103576,39718,96607,18007,200066,82659,45734
2016,Banking,253,103178,103178,93002,95214,---,377639,[#2],[#2]
2016,Financing (except banking),8087,84791,83096,90120,122761,---,603118,86481 [#3],390237
2016,Insurance,2638,78637,77203,41633,21110,---,513148,[#2],[#2]
2016,"Professional, scientific and technical activities",26053,143985,126898,56789,58849,1014,143531,78318,26878
2016,Administrative and support service activities,11789,228720,223862,45229,95971,660,153103,51086,11244
2017,Information and communications,10583,107376,103637,41044,92893,19451,200417,85472,47028
2017,Banking,239,104258,104258,97389,107606,---,425524,[#2],[#2]
2017,Financing (except banking),8164,86160,85766,99882,136055,---,665954,94759 [#3],430016
2017,Insurance,2669,83665,81830,45966,21610,---,592797,[#2],[#2]
2017,"Professional, scientific and technical activities",26536,145315,128720,59848,61089,1267,150078,81267,27874
2017,Administrative and support service activities,11902,230603,226306,47065,91343,585,150317,53887,11325
2018,Information and communications,10842,108134,105035,42970,98374,20661,211520,89039,49515
2018,Banking,231,107461,107461,97836,118412,---,472062,[#2],[#2]
2018,Financing (except banking),8547,89071,87970,102522,143621,---,633898,100914 [#3],387755
2018,Insurance,2680,88428,86376,51852,22101,---,559463,[#2],[#2]
2018,"Professional, scientific and technical activities",27129,148644,137577,63960,66309,1374,161554,86938,29911
2018,Administrative and support service activities,12218,236845,233812,48689,88861,571,149527,56794,11408
2019,Information and communications,11095,108982,106365,45286,106056,19320,222126,92103,51464
2019,Banking,225,102699,102699,99460,124879,---,487650,[#2],[#2]
2019,Financing (except banking),8929,99997,98377,114039,159023,---,606925,103375 [#3],333863
2019,Insurance,2765,91698,90600,53877,23733,---,629575,[#2],[#2]
2019,"Professional, scientific and technical activities",27499,150838,137764,65332,65590,1341,160764,86066,28501
2019,Administrative and support service activities,12244,240253,236963,50680,81499,595,145054,57195,12280
2020,Information and communications,11117,109866,107605,46284,105059,11504,216958,92077,54110
2020,Banking,232,100947,100947,101340,126444,---,447403,[#2],[#2]
2020,Financing (except banking),9078,100785,99745,119472,168410,---,628542,114925 [#3],340660
2020,Insurance,2780,91331,89861,41650,26408,---,710453,[#2],[#2]
2020,"Professional, scientific and technical activities",27478,150645,136997,64991,58569,1367,155659,80990,30732
2020,Administrative and support service activities,12111,234785,232645,49047,48885,449,104995,46389,6614
,,,,,,,,,,
Note(s) :,,,,,,,,,,
"The above statistics are compiled based on the Hong Kong Standard Industrial Classification (HSIC) Version 2.0 and the series has been backcasted to 2005 whereas the statistics prior to 2005 are based on HSIC Version 1.1. Users may also download ""HSIC Version 1.1-based statistics for reference. For more details on the revision of HSIC, please refer to the feature article ""Revision of the Hong Kong Standard Industrial Classification published in the November 2008 issue of the Hong Kong Monthly Digest of Statistics.",,,,,,,,,,
"1 Operating expenses do not include provision, gain/loss on disposal of fixed assets, bad debts, penalty, write-off, donations to charities, insurance excesses as well as depreciation, amortisation and taxation payments.",,,,,,,,,,
2 Value of purchases of goods for sale has been adjusted for changes in stocks.,,,,,,,,,,
3 Including the amount of subsidy related to anti-epidemic measures in 2020.,,,,,,,,,,
#NAME?,,,,,,,,,,
"[#2] Statistics presented in this table are compiled based on data collected through the Annual Survey of Economic Activities. Owing to the special features of business operations for the banking industry and the insurance industry, gross surplus and industry value added statistics are not compiled for these industries. Statistics on value added of these two industries compiled under the framework of Gross Domestic Product (GDP) are released by the Census and Statistics Department separately. For statistics on value added of the banking industry and the insurance industry, please refer to Table 188 : Value Added of the Four Key Industries in this website.",,,,,,,,,,
"[#3] Within the financing (except banking) industry, industry value added is not compiled for investment and holding companies owing to their special features of business operations. Hence, the figure of industry value added for this industry does not cover investment and holding companies.",,,,,,,,,,
,,,,,,,,,,
Source :,,,,,,,,,,
"Business Services Statistics Section,",,,,,,,,,,
Census and Statistics Department,,,,,,,,,,
(Enquiry telephone no. : 3903 7268,,,,,,,,,,
Enquiry e-mail : business-services@censtatd.gov.hk),,,,,,,,,,
,,,,,,,,,,
"Release Date: 8 December, 2021",,,,,,,,,,
